title,author
The Riddle of the Sands,Erskine Childers
The Immoralist,Andre Gide
The Wings of the Dove,Henry James
Heart of Darkness,Joseph Conrad
The Hound of the Baskervilles,Sir Arthur Conan Doyle
Buddenbrooks: The Decline of a Family,Thomas Mann
Kim,Rudyard Kipling
Sister Carrie,Theodore Dreiser
Lord Jim,Joseph Conrad
Some Experiences of an Irish R.M.,E. O. Somerville
The Stechlin,Theodore Fontane
The Awakening,Kate Chopin
The Turn of the Screw,Henry James
The War of the Worlds,H. G. Wells
The Invisible Man,H. G. Wells
What Masie Knew,Henry James
The Fruits of the Earth,Andre Gide
Dracula,Bram Stoker
Quo Vadis,Henryk Sienkiewicz
The Island of Dr. Moreau,H. G. Wells
The Time Machine,H. G. Wells
Effi Briest,Theodor Fontane
Jude the Obscure,Thomas Hardy
The Real Charlotte,Edith Somerville
The Yellow Wallpaper,Charlotte Perkins Gilman
Born in Exile,George Gissing
Diary of a Nobody,George Grossmith
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle
News from Nowhere,William Morris
New Grub Street,George Gissing
Gosta Berling's Saga,Selma Lagerlof
Tess of the D' Urbervilles,Thomas Hardy
The Picture of Dorian Gray,Oscar Wilde
The Kreutzer Sonata,Leo Tolstoy
La Bete Humaine,Emile Zola
by the Open Sea,August Strindberg
Hunger,Knut Hamsun
The Master of Ballantrae,Robert Louis Stevenson
Pierre et Jean,Guy de Maupassant
Fortunata y Jacinta,Benito Perez Galdos
People of Hemso,August Strindberg
The Woodlanders,Thomas Hardy
She,H. Rider Haggard
Dr. Jekyll & Mr. Hyde,Robert Louis Stevenson
The Mayor of Casterbridge,Thomas Hardy
Kidnapped,Robert Louis Stevenson
King Solomon's Mines,H. Rider Haggard
Germinal,Emile Zola
The Adventures of Huckleberry Finn,Mark Twain
Bel Ami,Guy de Maupassant
Marius the Epicurean,Walter Pater
Against the Grain,Joris-Karl Huysmans
The Death of Ivan Ilyich,Leo Tolstoy
A Woman's Life,Guy de Maupassant
Treasure Island,Robert Louis Stevenson
The House by the Medlar Tree,Giovanni Verga
The Portrait of a Lady,Henry James
Bouvard and Pecuchet,Gustave Flaubert
Ben-Hur,Lew Wallace
Nana,Emile Zola
The Brothers Karamazov,Fyodor Dostoevsky
The Red Room,August Strindberg
The Return of the Native,Thomas Hardy
Anna Karenina,Leo Tolstoy
Drunkard,Emile Zola
Virgin Soil,Ivan Turgenev
Daniel Deronda,George Eliot
The Hand of Ethelberta,Thomas Hardy
The Temptation of Saint Anthony,Gustave Flaubert
Far from the Madding Crowd,Thomas Hardy
The Enchanted Wanderer,Nikolai Leskov
Around the World in Eighty Days,Jules Verne
In a Glass Darkly,Sheridan Le Fanu
The Possessed – The Devils,Fyodor Dostoevsky
Erewhon,Samuel Butler
Spring Torrents,Ivan Turgenev
Middlemarch,George Eliot
Through the Looking-Glass,Lewis Carroll
A Lear of the Steppes,Ivan Turgenev
He Knew He Was Right,Anthony Trollope
War and Peace,Leo Tolstoy
A Sentimental Education,Gustave Flaubert
