title,author
Never Let Me Go,Kazuo Ishiguro
Saturday,Ian McEwan
On Beauty,Zadie Smith
Slow Man,J. M. Coetzee
Adjunct: An Undigest,Peter Manson
The Sea,John Bonville
The Red Queen,Margaret Drabble
The Plot Against America,Philip Roth
The Master,Colm Tobin
Vanishing Point,David Markson
The Lambs of London,Peter Ackroyd
Dining on Stones,Iain Sinclair
Cloud Atlas,David Mitchell
Drop City,T. C. Boyle
The Colour,Rose Tremain
Thursbitch,Alan Garner
The Light of Day,Graham Swift
What I Loved,Siri Hustvedt
The Curious Incident of the Dog in the Night-Time,Mark Haddon
Islands,Dan Sleigh
Elizabeth Costello,J. M. Coetzee
London Orbital,Iain Sinclair
Family Matters,Rhinton Mistry
Fingersmith,Sarah Waters
The Double,Jose Saramago
Everything is Illuminated,Jonathan Safran Foer
Unless,Carol Shields
Kafka on the Shore,Haruki Murokami
The Story of Lucy Gault,William Trevor
That They May Face the Rising Sun,John McGahern
In the Forest,Edna O'Brien
Shroud,John Banville
Middlesex,Jeffery Eugenides
Youth: Scenes from Provincial Life II,J. M. Coetzee
Dead Air,Iain Banks
Nowhere Man,Alexsandar Hemon
The Book of Illusions,Paul Auster
Gabriel's Gift,Hanif Kureishi
Austerlitz,Winfried Georg Sebald
Platform,Michael Houellebecq
Schooling,Heather McGowan
Atonement,Ian McEwan
The Corrections,Jonathan Franzen
Don't Move,Margaret Mazzantini
The Body Artist,Don DeLillo
Fury,Salman Rushdie
"At Swim, Two Boys",Jamie O'Neill
Choke,Chuck Palahniuk
Life of Pi,Yann Martel
The Feast of the Goat,Mario Vargas Llosa
An Obedient Father,Akhil Sharma
The Devil and Miss Prym,Paulo Coelho
"Spring Flowers, Spring Frost",Ismail Kadare
White Teeth,Zadie Smith
The Heart of Redness,Zakes Mda
Under the Skin,Michel Faber
Ignorance,Milan Kundera
Nineteen Seventy Seven,David Peace
Celestial Harmonies,Peter Esterhazy
City of God,E. L. Doctorow
How the Dead Live,Will Self
The Human Stain,Philip Roth
The Blind Assassin,Margaret Atwood
After the Quake,Haruki Murakami
Small Remedies,Shashi Deshpande
Super-Cannes,J. G. Ballard
House of Leaves,Mark Z. Danelewski
Blonde,Joyce Carol Oates
Pastoralia,George Saunders
Timbuktu,Paul Auster
The Romantics,Pankaj Mishra
Cryptonomicon,Neal Stephenson
As If I am Not There,Slavenka Drakulic
Everything You Need,A. L. Kennedy
Fear and Trembling,Amelie Nothomb
The Ground Beneath Her Feet,Salman Rushdie
Disgrace,J. M. Coetzee
Sputnik Sweetheart,Haruki Murakami
Elementary Particles,Michael Houelleberq
Intimacy,Hanif Kureishi
Amsterdam,Ian McEwan
Cloudsplitter,Russell Banks
All Soul's Day,Cees Nooteboom
The Talk of the Town,Ardal O'Hanlon
Tipping the Velvet,Sarah Waters
The Poisonwood Bible,Barbara Kingsolver
Glamoroma,Bret Easton Ellis
Another World,Pat Barker
The Hours,Michael Cunningham
Veronika Decides to Die,Paulo Coelho
Mason and Dixon,Thomas Pynchon
The God of Small Things,Arundhati Roy
Memoirs of a Geisha,Arthur Golden
Great Apes,Will Self
Enduring Love,Ian McEwan
Underworld,Don DeLillo
Jack Maggs,Peter Carey
The Life of Insects,Victor Pelevin
American Pastoral,Philip Roth
The Untouchable,John Banville
Silk,Alessandro Baricco
Cocaine Nights,J. G. Ballard
Hallucinating Foucault,Patricia Duncker
Fugitive Pieces,Anne Michaels
The Ghost Road,Pat Barker
Forever a Stranger and Other Stories,Hella S. Haasse
Infinite Jest,David Foster Wallace
Clay Machine-Gun,Victor Pelevin
Alias Grace,Margaret Atwood
The Unconsoled,Kazuo Ishiguro
Morvern Callar,Alan Warner
The Information,Martin Amis
The Moor's Last Sigh,Salman Rushdie
Sabbath's Theater,Philip Roth
The Rings of Saturn,W. G. Sebald
The Reader,Bernhard Schlink
A Fine Balance,Mistry Rohinton
Love's Work: A Reckoning with Life,Gillian Rose
The End of the Story,Lydia Davis
Mr. Vertigo,Paul Auster
The Folding Star,Alan Hollinghurst
Whatever,Michael Houellebecq
Land,Park Kyong-Ni
The Master of Petersburg,J. M. Coetzee
The Wind-Up Bird Chronicle,Haruki Murakami
Pereira Declares: A Testimony,Antonio Tabucchi
"City, Sister, Silver",Jachym Topol
"How Late It Was, How Late",James Kelman
Captain Corelli's Mandolin,Louis de Bernieres
Felicia's Journey,William Trevor
Disappearance by David Da,deen
The Invention of Curried Sausage,Uwe Timm
The Shipping News,E. Annie Proulx
Trainspotting,Irvine Welsh
Birdsong: A Novel of Love and War,Sebastian Faulks
Looking for the Possible Dance,A. L. Kennedy
Operation Shylock: A Confession,Philip Roth
Complicity,Iain Banks
On Love,Alain de Botton
What a Carve Up!,Jonathan Coe
A Suitable Boy,Vikram Seth
The Stone Diaries,Carol Shields
The Virgin Suicides,Jeffrey Eugenides
The House of Doctor Dee,Peter Ackroyd
The Robber Bride,Margaret Atwood
The Emigrants,W. G. Sebald
The Secret History,Donna Tartt
Life Is a Caravanserai,Emine Sevgi Ozdamar
The Discovery of Heaven,Harry Mulisch
A Heart so White,Javier Marias
Possessing the Secret Joy,Alice Walker
Indigo,Marina Warner
The Crow Road,Iain Banks
Written on the Body,Jeanette Winterson
Jazz,Toni Morrison
The English Patient,Michael Ondaatje
Smilla's Sense of Snow,Peter Hoeg
The Butcher Boy,Patrick McCabe
Black Water,Joyce Carol Oates
The Heather Blazing,Colm Toibin
Asphodel,H. D. (Hilda Doolittle
Black Dogs,Ian McEwan
Hideous Kinky,Esther Freud
Arcadia,Jim Crace
Wild Swans: Three Daughters of China,Jung Chang
American Psycho,Bret Easton Ellis
Time's Arrow,Martin Amis
Mao II,Don DeLillo
Typical,Padgett Powell
Regeneration,Pat Barker
Downriver,Iain Sinclair
Senor Vivo and the Coca Lord,Louis De Bernieres
Wise Children,Angela Carter
Get Shorty,Elmore Leonard
Amongst Women,John McGahern
Vineland,Thomas Pynchon
Vertigo,Winfried Georg Sebald
Stone Junction,Tim Dodge
The Music of Chance,Paul Auster
The Things They Carried,Tim O'Brien
A Home at the End of the World,Michael Cunningham
Like Life,Lorrie Moore
Possession: A Romance by A. S.,att
The Buddha of Suburbia,Hanif Kureishi
The Midnight Examiner,William Kotzwinkle
A Disaffection,James Kelman
Sexing the Cherry,Jeanette Winterson
Moon Palace,Paul Auster
Billy Bathgate,E. L. Doctorow
The Remains of the Day,Kazuo Ishiguro
The Melancholy of Resistance,Laszlo Krasznahorkai
The Temple of My Familiar,Alice Walker
The Trick is to Keep Breathing,Janice Galloway
The History of the Siege of Lisbon,Jose Saramago
Like Water for Chocolate,Laura Esquivel
A Prayer for Owen Meany,John Irving
London Fields,Martin Amis
The Book of Evidence,John Banville
Cat's Eye,Margaret Atwood
Foucault's Pendulum,Umberto Eco
The Beautiful Room is Empty,Edmund White
Wittgenstein's Mistress,David Markson
The Satanic Verses,Salman Rushdie
Swimming Pool Library,Alan Hollinghurst
Oscar and Lucinda,Peter Carey
Libra,Don DeLillo
The Player of Games,Iain Banks
Nervous Conditions,Tsitsi Dangarembga
