title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate
Never Let Me Go,Kazuo Ishiguro,Fiction,"A primera vista, los jovencitos que estudian en el internado de Hailsham son como cualquier otro grupo de adolescentes. Practican deportes, o tienen clases de arte donde sus profesoras se dedican a estimular su creativi-dad. Es un mundo hermético, donde los pupilos no tienen otro contacto con el mundo exterior que Madame, como llaman a la mujer que viene a llevarse las obras más interesantes de los adolescentes, quizá para una galería de arte, o un museo. Kathy, Ruth y Tommy fueron pupilos en Hailsham y también fueron un triángulo amoroso. Y ahora, Kathy K. se permite recordar cómo ella y sus amigos, sus amantes, descubrieron poco a poco la verdad. El lector de esta espléndida novela, utopía gótica, irá descubriendo que en Hailsham todo es una re-presentación donde los jóvenes actores no saben que lo son, y tampoco saben que no son más que el secreto terrible de la buena salud de una sociedad.",es,245,,,Anagrama,2005-10-01
Saturday,Ian McEwan,Fiction,"NATIONAL BESTSELLER • The Booker Prize winner and bestselling author of Atonement follows an ordinary man through a Saturday whose high promise gradually turns nightmarish in this “dazzling [and] powerful” novel (The New York Times). Henry Perowne—a neurosurgeon, urbane, privileged, deeply in love with his wife and grown-up children—plans to play a game of squash, visit his elderly mother, and cook dinner for his family. But after a minor traffic accident leads to an unsettling confrontation, Perowne must set aside his plans and summon a strength greater than he knew he had in order to preserve the life that is dear to him.",en,306,4,22,Anchor,2006-04-11
On Beauty,Zadie Smith,Fiction,"De la aclamada autora de Tiempos de swing y Dientes blancos, Zadie Smith, descubre una historia brillantemente divertida y profundamente conmovedora sobre el amor y la familia. Profesor universitario en una pequeña ciudad de Nueva Inglaterra, el británico Howard Belsey está pasando, a sus cincuenta y siete años, por uno de sus momentos más bajos: su futuro académico parece definitivamente estancado y, en su casa, las cosas van de mal en peor. Tras treinta años de convivencia con Kiki, una hermosa activista afroamericana que ahora pesa ciento veinte kilos, un desliz amoroso amenaza con hundir su matrimonio. En cuanto a sus tres hijos, se encuentran absortos en sus propias vidas: el enamoradizo y sesudo Jerome se ha convertido al cristianismo; la ingenua y ambiciosa Zora sigue los dictados de su precoz inteligencia, y el quinceañero Levi es un abanderado de la negritud. Y como si el panorama no fuera lo bastante complejo, el odiado Monty Kipps, especialista en Rembrandt como él y su adversario más acérrimo, ha sido invitado a formar parte del cuerpo académico de la universidad. Así pues, todo está servido para una hilarante historia en la que el bagaje intelectual y cultural se reduce meramente a un vistoso escudo personal diseñado para protegerse del desamparo y mitigar el implacable paso del tiempo. La agilidad de los diálogos, el ritmo vertiginoso de la acción y el insospechado final hacen de esta novela una obra única, absorbente y conmovedora. ** Ganadora del premio Orange 2006 ** Finalista del Booker La crítica ha dicho... « Sobre la belleza es increíblemente divertida. Zadie Smith posee un talento excepcional para el lenguaje y consigue, una y otra vez, imágenes deslumbrantes.» The Observer «Ambiciosa y extraordinaria.» The Guardian «Una novela conmovedora y entretenida, provocadora y entrañable [...]. Zadie Smith ha escrito una historia tan fascinante como su deslumbrante primera novela, Dientes blancos.» The New York Times «Exuberante y muy divertida. Tan entretenida y adictiva como Dientes blancos.» The Independent «Una novela exuberante, divertida, conmovedora y erudita, que confirma a Zadie Smith como una fuerza de la naturaleza literaria.» Booklist «Con esta novela, Zadie Smith se pone a la cabeza de la nueva generación de escritores británicos [...]. No cabe hablar de homenaje, Sobre la belleza está a la misma altura que Regreso a Howards End.» The New Statesman « Sobre la belleza es una exhibición de maestría en casi todo [...]. Con una asombrosa simpatía hacia todas las formas de la debilidad human Zadie Smith da vida a todos los personajes que retrata, ya sean poetas del hip-hop o lords ingleses. [...] Una excelente novelista de la que E. M. Forster estaría orgulloso.» The Washington Post «Una excepcional comedia sobre las polémicas políticas culturales del nuevo siglo, que divertirá por igual a los lectores con simpatías más a la derecha o a la izquierda. (Aunque no se reirán necesariamente en los mismos párrafos.)» The New York Times Book Review «En esta sátira ácida y arrebatadora, la belleza está a flor de piel, pero la diversión cala hasta los huesos.» Kirkus Reviews «Un oído excelente para el diálogo y un ojo dotado para la comedia de situaciones [...]. Zadie Smith es única.» The Scotsman",es,479,,,SALAMANDRA,2011-12-06
Slow Man,J. M. Coetzee,,"""Hombre lento lleva a cabo una meditación acerca de lo que nos convierte en seres humanos, a la vez que reflexiona sobre la vejez. La lucha de Paul Rayment con su supuesta debilidad se traduce a traves de la voz clara y sin tapujos de J.M. Coetzee; el resultado es una historia profundamente conmovedora sobre el amor y la mortalidad que deslumbra al lector en cada página"" --Cubierta.",es,259,,,,2007
Adjunct: An Undigest,Peter Manson,,,en,87,,,,2004-01-01
The Sea,John Bonville,Fiction,"La mejor novela de John Banville ( The Telegraph ), Premio Príncipe de Asturias de las Letras, ganadora del Premio Man Booker y del Irish Book Award «El mejor escritor en activo en su idioma y, si hay justicia, Nobel cercano.» Rodrigo Fresán «Hermosa, exigente y extraordinariamente gratificante.» Irish Independent Max Morden vuelve al pueblo costero donde de niño pasaba sus vacaciones. Allí conoció a los Grace, una familia acomodada. Allí, un verano, descubrió el poder transfigurador del amor, y también la tragedia. Mientras huye de la pena por la muerte de su esposa, se sumerge en ese pasado que late en su interior «como un segundo corazón». El mar es un estudio de la sensualidad y de la felicidad según pasan los años, y la novela más conocida de John Banville, Premio Príncipe de Asturias de las Letras; la que le ha hecho merecer el prestigioso Premio Man Booker y las reseñas más entusiastas, aunque el elogio preferido del autor es el de una dependienta de una tienda londinense, quien al mirar la tarjeta de crédito de su esposa exclamó: «Dígale al señor Banville que El mar es el libro más hermoso que he leído nunca». La crítica ha dicho... «Está llena de esperanza y su estilo es majestuoso.» Víctor del Árbol, Heraldo de Aragón «Un libro maravilloso que habla de la soledad y la pérdida. Muy recomendable. Merece la pena.» Lola Angulo (librero en la Cuesta de Moyano) «Sobresaliente [...]. Su fuerza, originalidad y penetrante belleza maravillan al lector.» The Washington Post Book World «Por su inteligencia minuciosa y su estilo exquisito, John Banville es el heredero de Nabokov [...]. El mar es su mejor novela.» The Telegraph «Una joya [...]. [El mar] está presente en cada página, sus ondulaciones interminables resuenan de modo constante en las cadencias de su prosa. Esta novela no debería ser solamente leída. Debería ser escuchada, pues su sonido es embriagador.» The Philadelphia Inquirer «Una novela en la que todas sus grandes cualidades se unen para producir una verdadera obra de arte, perturbadora, hermosa e inteligente y que, al final, de modo sorprendente, acaba por ofrecernos consuelo.» The Scotsman «Se puede oler y sentir y ver su mundo con una claridad extraordinaria. Esta es una obra de arte que apuesto que seguirá siendo leída y celebrada dentro de setenta y cinco años.» The Times «La prosa de Banville parece poesía. Hay tanto que celebrar en este libro que merece ser leído más de una vez.» Literary Review «No es tanto una novela sobre la memoria como una investigación sobre lo que significa haber tenido experiencias que parecen estar a punto de desaparecer. Este libro de Banville trae a la mente a maestros como Proust y Beckett, y también James. [...] La mención de estos autores debería hacernos reflexionar sobre lo privilegiados que somos de ser sus contemporáneos.» The Guardian «La belleza reside, también y sobre todo, en cada una de las novelas de John Banville. En sus manos de orfebre tallador de palabras, este mundo extraño, a veces ajeno y siempre misterioso, se vuelve un lugar más habitable, hermoso, y el lector tiene la sensación de que al menos en ese transcurrir de páginas la vida merece la pena ser vivida. [...] No hay truco que valga. Banville es puro arte.» Inés Martín Rodrigo, ABC",es,172,,,ALFAGUARA,2019-06-06
The Red Queen,Margaret Drabble,Fiction,"Set in 18th century Korea and the present day, Margaret Drabble's The Red Queen is a rich and atmospheric novel about love, and what it means to be remembered. 200 years after being plucked from obscurity to marry the Crown Prince of Korea, the Red Queen's ghost decides to set the record straight about her extraordinary existence - and Dr Babs Halliwell, with her own complicated past, is the perfect envoy. Why does the Red Queen pick Babs to keep her story alive, and what else does she want from her? A terrific novel set in 18th century Korea and the present day, The Red Queen is a rich and atmospheric novel about love, and what it means to be remembered 'Elegant . . . a seductive beguiling narrator . . . delicious history' Daily Express 'One of our foremost women writers' Guardian 'Carefully wrought and beautifully written The Red Queen is another fine addition to the Drabble oeuvre' Literary Review Margaret Drabble was born in 1939 in Sheffield, Yorkshire, the daughter of barrister and novelist John F. Drabble, and sister of novelist A.S. Byatt. She is the author of eighteen novels and eight works of non-fiction, including biographies of Arnold Bennett and Angus Wilson. Her many novels include The Radiant Way (1987), A Natural Curiosity (1989), The Gates of Ivory (1991), The Peppered Moth (2000), The Seven Sisters (2002) and The Red Queen (2004) all of which are published by Penguin. In 1980, Margaret Drabble was made a CBE and in 2008 she was made DBE. She is married to the biographer Michael Holroyd, and lives in London and Somerset.",en,370,,,Penguin UK,2005-08-04
The Plot Against America,Philip Roth,Antisemitism,"Cuando Charles A. Lindbergh voló en 1927 desde Nueva York hasta Paris convirtiéndose en el primer aviador americano que cruzaba el Atlántico, el novelista Philip Roth aprovecha esta hazaña para imaginar qué hubiera pasado si Lindbergh hubiera llegado a convertirse en el Presidente de Estados Unidos, derrotando a Franklin Roosevelt en las elecciones de 1940. Lindbergh en esta novela llega a un trato con Hitler, como buen antisemita, de hecho la realidad es que en 1938 este héroe se trasladó a vivir a Alemania y se convirtió en líder del controvertido movimiento aislacionista americano y aceptó una condecoración del Führer. En 1941 el presidente Roosevelt criticó su postura neutralista ante la Segunda guerra Mundial y muchos de sus compatriotas lo tacharon de antisemita. Philip Roth convierte esa historia en ficción, imaginando qué hubiera pasado si este héroe hubiera gobernado América y habla de las siniestras consecuencias para miles de familias judías americanas.",es,0,,,,2005-12
The Master,Colm Tobin,Fiction,"The Master es la inimitable mirada de un espléndido escritor, Colm Tóibín, a la vida de uno de los artistas más emblemáticos: Henry James. Podemos imaginarlo por las calles de Londres, intentando buscar consuelo al fracaso de su obra teatral. Más tarde lo vemos caminar por Venecia, cruzando puentes para ir a una recepción fastuosa y aburrida, o rastreando en las aguas de la laguna para dar con las prendas de una amiga que decidió despedirse de la vida. Luego lo encontramos en el estudio de su casa de campo en Rye, cruzando de arribaabajo la habitación en busca de la palabra adecuada, dejando que las letras serpenteen por el folio hasta que el párrafo entero galope. Henry James está vivo y es nuestro gracias al talento de Colm Tóibín: aquí se despliega y respira el retrato de un hombre que había nacido en Estados Unidos pero hizo suya Europa, y allí vivió sus miedos, sus dudas antes de aceptar la felicidad, y la búsqueda obsesiva de una escritura limpiay honda. Henry James y Colm Tóibín: dos genios juntos en una sola novela, más allá del tiempo y del lugar que les tocó en suerte. Reseñas: «Tengo subrayadas casi todas las páginas de sus obras maestras.» Pedro Almodóvar «Una novela audaz, profunda y escandalosamente inteligente.» The Guardian «Este es un libro audaz, profundo y maravillosamente inteligente.» Hermione Lee, The Guardian «Indudablemente,esta es una obra de un novelista de primera línea » Daniel Mendelsohn, New York Review of Books « The Master, una encantadora ficción histórica que nos lleva a la personalidad detrás de aquellos grandes relatos como Retrato de una dama.» Mi Revista «Uno empieza The Master y ya está en la conciencia de Henry James, y la mezcla de opacidad y transparencia que percibe tal vez se parezca mucho a la que el propio James sentía hacia sí mismo, perpetuamente revelándose y escondiéndose en sus veladoras de palabras, en sus historias en las que las cosas se dicen y al mismo tiempo no se dicen y la verdad última sobre los personajes o sus destinos queda inaccesible al otro lado de un umbral que no cruzaremos, aunque la puerta esté entornada.» Antonio Muñoz Molina, El País «El gran mérito del libro de Tóibín es que no nos acerca tanto a la vida de Henry James como a sus pensamientos, enfrentándolos a los acontecimientos de su vida.» Pablo Martínez Zarracina, Sur «Aunando la sutileza con la hondura psicológica y con una admirable destreza para construir una narración muy fluida en su desarrollo, Tóibín reconstruye el trazado de un personaje complejo como Henry James.» Ysabel M, Anika entre libros",es,468,,,LUMEN,2018-04-12
Vanishing Point,David Markson,Juvenile Nonfiction,,es,,,,,
The Lambs of London,Peter Ackroyd,Fiction,"From the author of Chatterton and Shakespeare: A Biography comes a gripping novel set in London that re-imagines an infamous 19th-century Shakespeare forgery. Charles and Mary Lamb, who will in time achieve lasting fame as the authors of Tales from Shakespeare for Children, are still living at home, caring for their dotty and maddening parents. Reading Shakespeare is the siblings’ favorite reprieve, and they are delighted when an ambitious young bookseller comes into their lives claiming to possess a ‘lost’ Shakespearea play. Soon all of London is eagerly anticipating opening night of a star-studded production of the play not knowing that they have all been duped by charlatan and a fraud.",en,226,,,Anchor,2007-07-10
Dining on Stones,Iain Sinclair,Fiction,"Dining on Stones is Iain Sinclair's sharp, edgy mystery of London and its environs. Andrew Norton, poet, visionary and hack, is handed a mysterious package that sees him quit London and head out along the A13 on an as yet undefined quest. Holing up in a roadside hotel, unable to make sense of his search, he is haunted by ghosts: of the dead and the not-so dead; demanding wives and ex-wives; East End gangsters; even competing versions of himself. Shifting from Hackney to Hastings and all places in-between, while dissecting a man's fractured psyche piece by piece, Dining on Stones is a puzzle and a quest - for both writer and reader. 'Exhilarating, wonderfully funny, greatly unsettling - Sinclair on top form' Daily Telegraph 'Prose of almost incantatory power, cut with Chandleresque pithiness' Sunday Times 'Spectacular: the work of a man with the power to see things as they are, and magnify that vision with a clarity that is at once hallucinatory and forensic' Independent on Sunday Iain Sinclair is the author of Downriver (winner of the James Tait Black Memorial Prize and the Encore Award); Landor's Tower; White Chappell, Scarlet Tracings; Lights Out for the Territory; Lud Heat; Rodinsky's Room (with Rachel Lichtenstein); Radon Daughters; London Orbital, Dining on Stones, Hackney, that Rose-Red Empire and Ghost Milk. He is also the editor of London: City of Disappearances.Andrew Norton, poet, visionary and hack, is handed a mysterious package that sees him quit London and head out along the A13 on an as yet undefined quest. Holing up in a roadside hotel, unable to make sense of his search, he is haunted by ghosts: of the dead and the not-so dead; demanding wives and ex-wives; East End gangsters; even competing versions of himself. Shifting from Hackney to Hastings and all places in-between, while dissecting a man's fractured psyche piece by piece, Dining on Stones is a puzzle and a quest - for both writer and reader. Praise for Iain Sinclair: 'A modern-day William Blake' Jacques Peretti, BBC Culture Show 'One of the finest writers alive' Alan Moore 'Eloquent chronicler of London's grunge and glory' Independent 'He writes with a fascinated, gleeful disgust, sees with neo-Blakean vision, listens with an ear tuned to the white noise of an asphalt soundtrack' The Times 'Sinclair is a genius . . . Sinclair is the poet of place' GQ 'Sinclair breathes wondrous life into monstrous, man-made landscapes' TLS 'Iain Sinclair is a reliably exhilarating writer' Telegraph 'He is incapable of writing a dull paragraph' Scotland on Sunday Iain Sinclair is the author of Downriver (winner of the James Tait Black Memorial Prize and the Encore Award); Landor's Tower; White Chappell, Scarlet Tracings; Lights Out for the Territory; Lud Heat; Rodinsky's Room (with Rachel Lichtenstein); Radon Daughters; London Orbital, Ghost Milk, Dining on Stones and Hackney, that Rose-Red Empire. He is also the editor of London: City of Disappearances.",en,520,,,Penguin UK,2013-12-05
Cloud Atlas,David Mitchell,Fiction,"¿Puede el amor, el poder del bien incluso en la adversidad, perdurar más allá de la vida que conocemos y prolongarse a través de siglos y lugares? Seis vidas se entrecruzan aquí de forma inesperada a fin de dibujar un mundo, profético y extraño a la vez, en el que la historia se puede reescribir. Los seis protagonistas de la novela, ajenos a la trascendencia de sus acciones, tienen un papel mucho más relevante en la posteridad de lo que pueden imaginar, en escenarios tan disímiles como un viaje por la Polinesia a bordo de un galeón en el siglo xix, la California de los años sesenta, o una isla en un futuro postapocalíptico. Todos ellos comparten un destino común, el afán de poder que se sucede una civilización tras otra, y la búsqueda del amor como salvación. David Mitchell construye una aventura épica en la que no sólo todo está conectado, sino en la que también los gestos individuales pueden llegar a ser el germen de grandes revoluciones.otra caminando sobre un cable tendido a cuatrocientos metros de altura. En este fascinante libro, que reconstruye aquel momento histórico, Petit cuenta los secretos que rodearon esa gesta. Nos revela los diversos intentos de entrar en las torres, las estrategias para burlar la vigilancia y los seis años que pasó imaginando un hecho que se convirtió en un hito del funambulismo y en el crimen artístico del siglo.",es,555,,,Newton Compton Editores,2014-11-16
Drop City,T. C. Boyle,Fiction,,en,540,,,,1991
The Colour,Rose Tremain,Fiction,"Joseph and Harriet Blackstone emigrate from Norfolk to New Zealand in search of new beginnings and prosperity. But the harsh land near Christchurch threatens to destroy them almost before they begin. When Joseph finds gold in the creek he is seized by a rapturous obsession with the voluptuous riches awaiting him deep in the earth. Abandoning his farm and family, he sets off alone for the new gold-fields over the Southern Alps, a moral wilderness where many others, under the seductive dreams of 'the colour', are violently rushing to their destinies. By turns both moving and terrifying, The Colour is about a quest for the impossible, an attempt to mine the complexities of love and explore the sacrifices to be made in the pursuit of happiness.",en,387,,,Random House,2011-02-28
Thursbitch,Alan Garner,Fiction,"A gripping time-slip novel by the author of the 2022 Booker Prize-longlisted Treacle Walker Here John Turner was cast away in a heavy snow storm in the night in or about the year 1755. The print of a woman's shoe was found by his side in the snow where he lay dead. So reads an enigmatic memorial stone, high on the bank of a prehistoric Pennine track in Cheshire, a mystery that lives on in the surrounding hill farms. John Turner was a packman. With his train of horses he carried salt and silk, travelling distances incomprehensible to his community. John brought ideas as well as gifts, from market town to market town, from places as distant as the campfires of the Silk Road. In the twenty-first century, two hundred and fifty years after John's life, Ian and Sal's world resounds with the echo John's death. Walking on the moor one day they slip between time and are lost somewhere between Jack's vanished world and their own. This poetic, fantastical novel is is an evocation of the lives and the language of all people who are called to the valley of Thursbitch. 'Eerie and immaculately written' Olivia Laing, Observer",en,178,,,Random House,2014-03-27
The Light of Day,Graham Swift,Fiction,,es,302,,,,1998-01
What I Loved,Siri Hustvedt,Fiction,,es,455,2,1,,2004
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,"Una novela que no se parece a ninguna otra. Nominada por los estadounidenses como una de las 100 mejores novelas en la serie de PBS The Great American Read. Elogiada con entusiasmo por autores consagrados como Oliver Sacks e Ian McEwan y ganadora del Premio Whitbread y el Premio de la Commonwealth al Mejor Primer Libro, ha merecido la aprobación masiva de los lectores en todos los países donde se ha publicado. Su protagonista, Christopher Boone, es uno de los más originales que han surgido en el panorama de la narrativa internacional en los últimos años, y está destinado a convertirse en un héroe literario universal de la talla de Oliver Twist y Holden Caulfield. A sus quince años, Christopher conoce las capitales de todos los países del mundo, puede explicar la teoría de la relatividad y recitar los números primos hasta el 7.507, pero le cuesta relacionarse con otros seres humanos, Christopher es autista. Le gustan las listas, los esquemas y la verdad, pero odia el amarillo, el marrón y el contacto físico. Si bien nunca ha ido solo más allá de la tienda de la esquina, la noche que el perro de una vecina aparece atravesado por un horcón, Christopher decide iniciar la búsqueda del culpable. Emulando a su admirado Sherlock Holmes -el modelo de detective obsesionado con el análisis de los hechos-, sus pesquisas lo llevarán a cuestionar el sentido común de los adultos que lo rodean y a desvelar algunos secretos familiares que pondrán patas arriba su ordenado y seguro mundo. ENGLISH DESCRIPTION A bestselling modern classic--both poignant and funny--about a boy with autism who sets out to solve the murder of a neighbor's dog and discovers unexpected truths about himself and the world. Nominated as one of America's best-loved novels by PBS's The Great American Read Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow. This improbable story of Christopher's quest to investigate the suspicious death of a neighborhood dog makes for one of the most captivating, unusual, and widely heralded novels in recent years.",es,0,,,Debolsillo,2025-11-18
